"DateTime","Final price","Historical low"
"2015-06-03 23:00:03",59.99,59.99
"2015-06-03 23:00:03",59.99,59.99
"2015-12-26 18:55:19",49.99,49.99
"2015-12-26 18:55:19",49.99,49.99
"2016-01-04 18:16:52",59.99,49.99
"2016-01-04 18:16:52",59.99,49.99
"2016-02-05 20:09:52",40.19,40.19
"2016-02-05 20:09:52",40.19,40.19
"2016-02-12 18:23:06",59.99,40.19
"2016-02-12 18:23:06",59.99,40.19
"2016-03-22 17:10:19",40.19,40.19
"2016-03-29 17:10:47",59.99,40.19
"2016-05-19 04:10:10",40.19,40.19
"2016-05-23 17:13:13",59.99,40.19
"2016-06-23 21:42:00",29.99,29.99
"2016-07-04 18:11:49",59.99,29.99
"2016-08-03 18:10:14",29.99,29.99
"2016-08-08 17:20:19",59.99,29.99
"2016-10-18 17:10:47",29.99,29.99
"2016-10-25 17:12:43",59.99,29.99
"2016-11-23 21:04:39",19.79,19.79
"2016-11-30 11:34:09",59.99,19.79
"2016-12-01 18:04:13",29.99,19.79
"2016-12-03 18:22:09",59.99,19.79
"2016-12-22 17:59:50",19.79,19.79
"2017-01-02 18:26:22",59.99,19.79
"2017-02-22 08:20:56",29.99,19.79
"2017-02-28 21:50:06",59.99,19.79
"2017-05-25 17:10:37",19.79,19.79
"2017-05-29 17:13:00",59.99,19.79
"2017-06-08 16:50:07",29.99,19.79
"2017-06-22 22:08:11",14.99,14.99
"2017-07-05 18:19:20",29.99,14.99
"2017-08-22 17:05:54",20.09,14.99
"2017-08-22 17:08:44",29.99,14.99
"2017-08-23 13:17:29",20.09,14.99
"2017-08-29 17:10:23",29.99,14.99
"2017-10-17 18:20:01",14.99,14.99
"2017-10-24 17:10:12",29.99,14.99
"2017-11-22 18:32:25",14.99,14.99
"2017-11-28 18:23:51",29.99,14.99
"2017-12-21 18:44:06",14.99,14.99
"2018-01-04 18:49:14",29.99,14.99
"2018-02-01 18:10:28",14.99,14.99
"2018-02-12 18:11:32",29.99,14.99
"2018-02-12 20:00:13",14.99,14.99
"2018-02-19 18:30:30",29.99,14.99
"2018-06-21 23:34:43",14.99,14.99
"2018-07-05 17:44:00",29.99,14.99
"2018-08-07 17:10:47",14.99,14.99
"2018-08-14 17:10:28",29.99,14.99
"2018-10-16 21:20:49",14.99,14.99
"2018-10-24 17:10:36",29.99,14.99
"2018-11-21 18:11:33",14.99,14.99
"2018-11-27 21:18:13",29.99,14.99
"2018-12-06 18:20:56",14.99,14.99
"2018-12-11 06:30:54",29.99,14.99
"2018-12-20 18:42:17",14.99,14.99
"2019-01-03 19:40:11",29.99,14.99
"2019-02-04 19:30:29",14.99,14.99
"2019-02-11 18:17:45",29.99,14.99
"2019-03-07 18:20:33",14.99,14.99
"2019-03-14 18:20:11",29.99,14.99
"2019-05-16 17:11:34",14.99,14.99
"2019-05-20 17:27:14",29.99,14.99
"2019-06-07 17:03:55",14.99,14.99
"2019-06-17 17:12:16",29.99,14.99
"2019-06-25 19:11:15",14.99,14.99
"2019-07-09 19:39:42",29.99,14.99
"2019-07-23 17:12:16",7.49,7.49
"2019-07-30 17:11:29",29.99,7.49
"2019-10-22 17:13:23",11.99,7.49
"2019-10-29 17:10:14",29.99,7.49
"2019-11-26 18:09:04",8.99,7.49
"2019-12-03 18:12:19",29.99,7.49
"2019-12-19 18:08:02",8.99,7.49
"2020-01-02 18:14:22",29.99,7.49
"2020-01-23 18:12:00",8.99,7.49
"2020-01-27 19:04:18",29.99,7.49
"2020-06-25 17:08:34",8.99,7.49
"2020-07-09 17:35:16",29.99,7.49
"2020-08-04 17:05:32",8.99,7.49
"2020-08-11 17:07:30",29.99,7.49
"2020-10-20 17:06:18",8.99,7.49
"2020-10-27 17:02:42",29.99,7.49
"2020-11-25 18:08:04",8.99,7.49
"2020-12-01 19:07:56",29.99,7.49
"2020-12-22 18:14:14",8.99,7.49
"2021-01-05 18:47:36",29.99,7.49
"2021-02-11 18:08:00",8.99,7.49
"2021-02-15 19:16:36",29.99,7.49
"2021-03-25 17:08:06",14.99,7.49
"2021-03-29 17:13:16",29.99,7.49
"2021-05-09 17:07:42",14.99,7.49
"2021-05-16 17:05:24",29.99,7.49
"2021-06-24 17:34:11",11.99,7.49
"2021-07-08 17:50:21",29.99,7.49
"2021-07-09 16:05:13",19.99,7.49
"2021-08-10 17:07:43",7.99,7.49
"2021-08-24 17:07:37",19.99,7.49
"2021-10-12 17:06:50",4.99,4.99
"2021-10-26 17:05:23",19.99,4.99
"2021-11-24 18:13:20",7.99,4.99
"2021-12-01 18:20:25",19.99,4.99
"2021-12-22 18:02:05",7.99,4.99
"2022-01-05 18:20:39",19.99,4.99
"2022-01-27 18:21:59",7.99,4.99
"2022-02-03 18:21:56",19.99,4.99
"2022-04-07 07:05:03",9.99,4.99
"2022-04-11 17:01:37",19.99,4.99
"2022-06-23 17:08:52",7.99,4.99
"2022-07-07 17:21:59",19.99,4.99
"2022-08-16 17:01:35",7.99,4.99
"2022-08-30 17:01:33",19.99,4.99
"2022-10-04 17:01:30",4.99,4.99
"2022-10-18 17:01:34",19.99,4.99
"2022-11-22 18:18:05",6.59,4.99
"2022-11-29 18:28:39",19.99,4.99
"2022-12-22 18:22:05",4.99,4.99
"2023-01-05 18:28:09",19.99,4.99
"2023-01-23 18:21:39",6.59,4.99
"2023-01-30 18:21:42",19.99,4.99
"2023-03-16 17:31:28",6.59,4.99
"2023-03-23 17:21:53",19.99,4.99
"2023-06-22 17:01:30",6.59,4.99
"2023-07-13 17:21:58",19.99,4.99
"2023-08-02 17:01:28",6.59,4.99
"2023-08-16 17:01:28",19.99,4.99
"2023-10-23 17:21:29",4.99,4.99
"2023-10-31 17:01:26",19.99,4.99
"2023-11-21 18:09:23",6.59,4.99
"2023-11-28 18:27:05",19.99,4.99
"2023-12-21 18:36:28",6.59,4.99
"2024-01-04 18:27:28",19.99,4.99
"2024-01-30 18:01:30",6.59,4.99
"2024-02-12 18:21:43",19.99,4.99
"2024-03-14 17:15:50",6.59,4.99
"2024-03-21 17:27:11",19.99,4.99
"2024-04-11 17:01:34",4.99,4.99
"2024-04-19 17:01:30",19.99,4.99
"2024-06-27 17:50:26",7.99,4.99
"2024-07-11 17:27:07",19.99,4.99
"2024-08-08 17:01:35",7.99,4.99
