"DateTime","Final price","Historical low"
"2023-01-30 18:21:35",29.99,29.99
"2023-03-09 18:04:31",5.99,5.99
"2023-03-23 17:21:42",29.99,5.99
"2023-04-15 17:01:27",5.99,5.99
"2023-04-29 17:01:27",29.99,5.99
"2023-06-08 17:01:25",5.99,5.99
"2023-06-19 17:21:27",29.99,5.99
"2023-06-29 17:25:41",5.99,5.99
"2023-07-13 17:21:44",29.99,5.99
"2023-07-19 17:01:22",5.99,5.99
"2023-07-29 17:01:28",29.99,5.99
"2023-08-28 17:21:32",5.99,5.99
"2023-09-04 17:21:33",29.99,5.99
"2023-10-04 17:01:25",8.99,5.99
"2023-10-18 17:01:24",29.99,5.99
"2023-11-21 18:08:58",5.99,5.99
"2023-12-12 18:01:26",29.99,5.99
"2023-12-21 18:07:11",5.99,5.99
"2024-01-04 18:37:43",29.99,5.99
"2024-01-11 18:01:28",5.99,5.99
"2024-01-25 18:01:30",29.99,5.99
"2024-02-28 18:01:23",5.99,5.99
"2024-03-13 18:05:04",29.99,5.99
"2024-03-14 17:15:28",5.99,5.99
"2024-03-21 17:26:54",29.99,5.99
"2024-04-22 17:21:32",5.99,5.99
"2024-05-06 17:21:32",29.99,5.99
"2024-06-10 17:21:30",8.99,5.99
"2024-06-24 17:21:29",29.99,5.99
"2024-06-27 17:50:08",2.99,2.99
"2024-07-11 17:26:52",29.99,2.99
"2024-07-24 17:01:25",4.49,2.99
"2024-08-07 17:01:26",29.99,2.99
"2024-08-12 17:21:33",13,2.99
"2024-08-19 17:21:33",29.99,2.99
"2024-09-12 17:01:28",2.99,2.99
"2024-09-21 17:01:23",29.99,2.99
"2024-10-21 17:21:34",4.49,2.99
"2024-11-04 18:21:33",29.99,2.99
"2024-11-27 18:21:07",4.49,2.99
"2024-12-18 18:01:31",29.99,2.99
"2024-12-19 20:30:26",4.49,2.99
"2025-01-02 19:01:29",29.99,2.99
"2025-01-20 18:21:25",2.99,2.99
"2025-01-24 13:57:23",2.99,2.99
"2025-01-24 13:57:23",,2.99
